run_id,empresa,tipo,model_id,model_label,api_provider,provider_upstream,doc_id,prompt_id,repetition,ok,error_kind,truncated,finish_reason,attempts,wer,cer,num_f1,html_sem_texto_extra,prompt_tokens,completion_tokens,total_tokens,cost_usd,cost_source,latency_s,saida_formato,ref_n_tokens,hyp_n_tokens,num_n_ref,num_n_hyp,num_acertos,timestamp_utc,pasta,resposta
20260908-153842,Google,fechado,google/gemini-3.5-flash,Gemini 3.5 Flash,gemini,google,1891-08-01_p599,p1,0,True,,False,STOP,1,0.04908565928777671,0.008154636061612805,0.9473684210526315,True,1125,9153,10278,0.0840645,tabela_precos,39.21218320005573,html,1039,1070,19,19,18,2026-09-08T19:38:42Z,chamadas/google__gemini-3.5-flash/1891-08-01_p599__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,google,1891-08-01_p599,p1,0,True,,False,STOP,1,0.01828681424446583,0.005889459377831471,0.9473684210526315,True,1125,7830,8955,0.03020625,tabela_precos,50.89520220004488,html,1039,1044,19,19,18,2026-09-08T19:38:42Z,chamadas/google__gemini-3.6-flash/1891-08-01_p599__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.5-flash,Gemini 3.5 Flash,gemini,,1891-08-01_p600,p1,0,False,servidor,False,,1,,,,,,,,,,,,,,,,,2026-09-08T19:39:21Z,chamadas/google__gemini-3.5-flash/1891-08-01_p600__p1__r0,
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,,1891-08-01_p600,p1,0,False,servidor,False,,1,,,,,,,,,,,,,,,,,2026-09-08T19:39:33Z,chamadas/google__gemini-3.6-flash/1891-08-01_p600__p1__r0,
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,google,1891-08-01_p601,p1,0,True,,False,STOP,1,0.051555555555555556,0.02714859437751004,0.9385474860335196,True,1144,8865,10009,0.03410175,tabela_precos,43.943189800018445,html,1125,1137,177,181,168,2026-09-08T19:39:57Z,chamadas/google__gemini-3.6-flash/1891-08-01_p601__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,google,1891-08-01_p606,p1,0,True,,False,STOP,1,0.05757368060315284,0.026182332822266778,0.9670329670329672,True,1154,8084,9238,0.0311805,tabela_precos,39.22833620000165,html,1459,1471,228,227,220,2026-09-08T19:40:41Z,chamadas/google__gemini-3.6-flash/1891-08-01_p606__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,,1900-04-01_p731,p1,0,False,servidor,False,,1,,,,,,,,,,,,,,,,,2026-09-08T19:41:21Z,chamadas/google__gemini-3.6-flash/1900-04-01_p731__p1__r0,
20260908-153842,Google,fechado,google/gemini-3.5-flash,Gemini 3.5 Flash,gemini,google,1891-08-01_p601,p1,0,True,,True,MAX_TOKENS,1,0.9724444444444444,0.9244979919678715,0.14659685863874347,False,1144,31996,33140,0.28968,tabela_precos,137.96372870006599,html,1125,101,177,14,14,2026-09-08T19:39:41Z,chamadas/google__gemini-3.5-flash/1891-08-01_p601__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,google,1900-04-01_p732,p1,0,True,,False,STOP,1,0.04059328649492584,0.018000246578720257,0.7766990291262137,True,1137,7818,8955,0.03017025,tabela_precos,39.815682200016454,html,1281,1283,51,52,40,2026-09-08T19:41:38Z,chamadas/google__gemini-3.6-flash/1900-04-01_p732__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,google,1900-04-01_p733,p1,0,True,,False,STOP,1,0.09808429118773947,0.050817386896464325,0.780952380952381,True,1137,8188,9325,0.03155775,tabela_precos,36.75961449998431,html,1305,1310,106,104,82,2026-09-08T19:42:20Z,chamadas/google__gemini-3.6-flash/1900-04-01_p733__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,google,1900-04-01_p735,p1,0,True,,False,STOP,1,0.13984461709211987,0.09380588522191513,0.8452830188679247,True,1137,7612,8749,0.02939775,tabela_precos,34.9783384000184,html,901,901,135,130,112,2026-09-08T19:42:57Z,chamadas/google__gemini-3.6-flash/1900-04-01_p735__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.5-flash,Gemini 3.5 Flash,gemini,google,1891-08-01_p606,p1,0,True,,True,MAX_TOKENS,1,0.10349554489376285,0.08279278216770845,0.9528089887640449,False,1154,31996,33150,0.289695,tabela_precos,113.91122060001362,html,1459,1385,228,217,212,2026-09-08T19:41:59Z,chamadas/google__gemini-3.5-flash/1891-08-01_p606__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,,1910-04-01_p985,p1,0,False,servidor,False,,1,,,,,,,,,,,,,,,,,2026-09-08T19:43:32Z,chamadas/google__gemini-3.6-flash/1910-04-01_p985__p1__r0,
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,google,1910-04-01_p986,p1,0,True,,False,STOP,1,0.01565377532228361,0.003026808878639377,1.0,True,1132,6132,7264,0.023844,tabela_precos,28.365894400049,html,1086,1086,10,10,10,2026-09-08T19:43:56Z,chamadas/google__gemini-3.6-flash/1910-04-01_p986__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.5-flash,Gemini 3.5 Flash,gemini,google,1900-04-01_p731,p1,0,True,,False,STOP,1,0.01507537688442211,0.006920415224913495,0.9375,True,1137,8673,9810,0.0797625,tabela_precos,54.811361200059764,html,995,999,48,48,45,2026-09-08T19:43:53Z,chamadas/google__gemini-3.5-flash/1900-04-01_p731__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,,1910-04-01_p995,p1,0,False,servidor,False,,1,,,,,,,,,,,,,,,,,2026-09-08T19:44:24Z,chamadas/google__gemini-3.6-flash/1910-04-01_p995__p1__r0,
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,,1920-04-01_p2085,p1,0,False,servidor,False,,1,,,,,,,,,,,,,,,,,2026-09-08T19:44:56Z,chamadas/google__gemini-3.6-flash/1920-04-01_p2085__p1__r0,
20260908-153842,Google,fechado,google/gemini-3.5-flash,Gemini 3.5 Flash,gemini,google,1900-04-01_p732,p1,0,True,,False,STOP,1,0.03434816549570648,0.015164591295771175,0.7450980392156863,True,1137,13827,14964,0.1261485,tabela_precos,50.554483699961565,html,1281,1280,51,51,38,2026-09-08T19:44:48Z,chamadas/google__gemini-3.5-flash/1900-04-01_p732__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,google,1920-04-01_p2099,p1,0,True,,False,STOP,1,0.02928071292170592,0.008778667837155711,1.0,True,1132,6255,7387,0.02430525,tabela_precos,51.49955529998988,html,1571,1569,29,29,29,2026-09-08T19:45:06Z,chamadas/google__gemini-3.6-flash/1920-04-01_p2099__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,google,1930-04-01_p3190,p1,0,True,,False,STOP,1,0.03103448275862069,0.01577152600170503,0.9696969696969697,True,1132,6486,7618,0.0251715,tabela_precos,30.27503739995882,html,1160,1162,66,66,64,2026-09-08T19:46:08Z,chamadas/google__gemini-3.6-flash/1930-04-01_p3190__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,google,1930-04-01_p3192,p1,0,True,,False,STOP,1,0.047619047619047616,0.007250945775535939,1.0,True,1132,5569,6701,0.02173275,tabela_precos,25.978426999994554,html,987,1004,120,120,120,2026-09-08T19:46:38Z,chamadas/google__gemini-3.6-flash/1930-04-01_p3192__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,gemini,google,1930-04-01_p3201,p1,0,True,,False,STOP,1,0.05929919137466307,0.024719101123595506,0.903225806451613,True,1162,10432,11594,0.0399915,tabela_precos,43.136366600054316,html,742,724,139,140,126,2026-09-08T19:47:04Z,chamadas/google__gemini-3.6-flash/1930-04-01_p3201__p1__r0,resposta.html
20260908-153842,Google,fechado,google/gemini-3.5-flash,Gemini 3.5 Flash,gemini,,1900-04-01_p733,p1,0,False,servidor,False,,1,,,,,,,,,,,,,,,,,2026-09-08T19:45:39Z,chamadas/google__gemini-3.5-flash/1900-04-01_p733__p1__r0,
