# ====================================================================
# PALAVRAS EM DESACORDO COM A NORMA ORTOGRAFICA ATUAL
# Documento : Diario Official - Quinta-feira, 1.o de Abril de 1920 - pag. 2085
# Arquivos  : 1920-04-01_p2085.html / 1920_2085_Facil.jpg
# Fonte     : texto da transcricao em HTML  --  RASCUNHO NAO CONFERIDO
# Gerado em : 2026-09-01
# --------------------------------------------------------------------
# ATENCAO   : esta lista foi extraida de uma transcricao AUTOMATICA que
#             ainda nao foi conferida contra a imagem. Uma grafia que o
#             transcritor tenha modernizado por conta propria nao aparece
#             aqui - e justamente a que mais importa. Confira a lista
#             contra o fac-simile antes de por 1920-04-01_p2085 em dataset.active.
# --------------------------------------------------------------------
# FORMATO   : TSV (separador = TAB), codificacao UTF-8 (sem BOM)
# Linhas iniciadas por '#' sao comentario: descartar ao processar.
# Colunas   : grupo <TAB> forma_epoca <TAB> forma_atual <TAB> obs
# Uso       : 'forma_epoca' e a grafia esperada no fac-simile.
#             Se a transcricao trouxer 'forma_atual' no lugar dela,
#             houve MODERNIZACAO indevida.
# Grupos    : consoantes_dobradas_mudas, digrafos_gregos, alternancia_s_z, acento_ausente, acento_hoje_inexistente, vocabulario_morfologia, nome_proprio_toponimo
# Total     : 58 linhas de dados
# ====================================================================
grupo	forma_epoca	forma_atual	obs


# [consoantes_dobradas_mudas] Consoantes dobradas e consoantes mudas (cc, ct, pt, pp, ll, mm, nn, ss, ff, bb) eliminadas pelas reformas de 1911/1943/1971
consoantes_dobradas_mudas	accôrdo	acordo	tambem acento circunflexo
consoantes_dobradas_mudas	actos	atos	
consoantes_dobradas_mudas	actual	atual	
consoantes_dobradas_mudas	adjunctas	adjuntas	
consoantes_dobradas_mudas	adjunctos	adjuntos	
consoantes_dobradas_mudas	annexada	anexada	
consoantes_dobradas_mudas	anno	ano	
consoantes_dobradas_mudas	attendendo	atendendo	
consoantes_dobradas_mudas	auctorisação	autorização	queda do c em auct-, tambem -isar > -izar
consoantes_dobradas_mudas	director	diretor	
consoantes_dobradas_mudas	director-geral	diretor-geral	
consoantes_dobradas_mudas	directoria	diretoria	
consoantes_dobradas_mudas	effectivado	efetivado	
consoantes_dobradas_mudas	effectuadas	efetuadas	
consoantes_dobradas_mudas	effetuadas	efetuadas	variante sem c na ementa
consoantes_dobradas_mudas	escripturario	escriturário	tambem falta acento
consoantes_dobradas_mudas	grippe	gripe	
consoantes_dobradas_mudas	inspector	inspetor	
consoantes_dobradas_mudas	inspectores	inspetores	
consoantes_dobradas_mudas	official	oficial	
consoantes_dobradas_mudas	secção	seção	
consoantes_dobradas_mudas	supplementar	suplementar	

# [digrafos_gregos] Digrafos de origem grega (ph, th, ch=k, rh, y) substituidos em 1911/1943
digrafos_gregos	archivo	arquivo	ch = k
digrafos_gregos	cathedratico	catedrático	th > t, tambem falta acento
digrafos_gregos	electrotechnica	eletrotécnica	ch = k, tambem falta acento
digrafos_gregos	physica	física	ph > f, tambem falta acento
digrafos_gregos	polytechnica	politécnica	y > i, ch = k, tambem falta acento
digrafos_gregos	theophilo	Teófilo	th > t, ph > f
digrafos_gregos	thesouro	tesouro	th > t
digrafos_gregos	thomaz	Tomaz	th > t

# [alternancia_s_z] Alternancia s/z e c/s, fixada pelas reformas
alternancia_s_z	despeza	despesa	
alternancia_s_z	despezas	despesas	

# [acento_ausente] Palavra que hoje leva acento e no fac-simile nao leva
acento_ausente	corregos	córregos	Dois Corregos
acento_ausente	credito	crédito	
acento_ausente	deficit	déficit	
acento_ausente	estatistica	estatística	
acento_ausente	exercicio	exercício	
acento_ausente	negocios	negócios	
acento_ausente	nobrega	Nóbrega	
acento_ausente	palacio	palácio	
acento_ausente	politica	política	
acento_ausente	sanitario	sanitário	
acento_ausente	sanitarios	sanitários	
acento_ausente	secretario	secretário	

# [acento_hoje_inexistente] Acento que a norma atual eliminou
acento_hoje_inexistente	á	a / à	preposicao grafada com acento agudo
acento_hoje_inexistente	ás	às	

# [vocabulario_morfologia] Forma lexical ou morfologica de epoca (plurais em -aes, arcaismos)
vocabulario_morfologia	cincoenta	cinquenta	forma de epoca do numeral
vocabulario_morfologia	mixta	mista	x > s

# [nome_proprio_toponimo] Nome proprio ou toponimo com grafia de epoca
nome_proprio_toponimo	Antonio	Antônio	
nome_proprio_toponimo	Belémzinho	Belenzinho	
nome_proprio_toponimo	Botucatú	Botucatu	hoje sem acento
nome_proprio_toponimo	Brazil	Brasil	
nome_proprio_toponimo	Egydio	Egídio	y > i
nome_proprio_toponimo	Lisbôa	Lisboa	hoje sem acento
nome_proprio_toponimo	Luiz	Luís	z > s
nome_proprio_toponimo	Marianna	Mariana	
nome_proprio_toponimo	Pirajú	Piraju	hoje sem acento
nome_proprio_toponimo	Tambahú	Tambaú	hy/h > i
